num_episode,loss,td_error,reward_avg
1,21.290621059735617,3.311838583946228,-4.98
2,268.7552804843585,2.0918039059638978,-12.533333333333333
3,6.510637491941452,1.6093535987536112,-6.756666666666667
4,143.56028224110602,1.840232226252556,-8.596666666666666
5,148.33826005736987,1.9577839942773183,-5.963333333333333
6,575.6023370011212,2.765349886188768,3.9383561643835616
7,408.00038520415626,2.3467725018660226,-5.64
8,533.4345171264807,2.722281550168991,-5.453333333333333
9,5.588944973810664,1.5916506029524893,6.066037735849057
10,536.7425296004614,2.7089044477542243,-5.44
11,395.0939515463511,2.3758697656790417,-5.65
12,1202.8148565113545,4.0887388527393345,6.76
13,244.09511965215205,2.1577685132622717,2.0375
14,1143.045337578425,3.8629881934477734,6.980769230769231
15,407.8715870590771,2.408536365219191,6.53921568627451
16,1390.011809975168,5.150678815012393,5.086956521739131
17,1066.2286716109124,3.036797641593719,5.869158878504673
18,814.1525455863731,3.59480866413672,6.427184466019417
19,1503.6320073604584,4.123324369921268,6.883495145631068
20,2037.2667562408108,4.484294641230788,6.491071428571429
21,1127.1300491082786,3.2268056586237237,7.316831683168317
22,2549.3827190445018,4.972544356034352,6.451923076923077
23,1135.1282449889184,2.9307376563549044,6.98
24,2554.6751308533753,4.915658117498009,6.388349514563107
25,2080.148477924954,4.499215445735238,5.9
26,1116.8480518477977,3.0323058201534914,6.712871287128713
27,1790.277540418337,4.464141319382866,6.056603773584905
28,3614.9759108120934,6.267520687036347,5.2368421052631575
29,3669.757846841625,6.7535141157168965,6.735294117647059
30,1688.4576341108843,4.325319274989042,5.818181818181818
31,1641.532603976982,3.88889836200646,5.4375
32,1759.1492399504552,3.9370651577527704,6.480769230769231
33,2798.6519715695154,5.617139758382525,6.914285714285715
34,2859.190624396006,6.603013466386234,6.666666666666667
35,2157.237572788012,5.358755010189396,6.871287128712871
36,5097.506891383575,8.702250241087032,6.394230769230769
